,city,lat,max_temp,cloudiness,humidity,lng,country,date,wind_speed
309,vaitape,-16.52,26.18,34,82,-151.75,PF,1562611260,7.48
310,hualmay,-11.1,17.08,51,86,-77.61,PE,1562611150,6.0
311,meulaboh,4.14,27.58,64,80,96.13,ID,1562611490,3.58
312,mweka,-4.85,24.88,24,47,21.56,CD,1562611490,0.75
313,menongue,-14.66,14.48,0,16,17.68,AO,1562611490,2.02
314,velsk,61.07,14.38,86,96,42.1,RU,1562611374,2.2
315,marsa matruh,31.35,26.48,0,82,27.25,EG,1562611302,6.16
316,porto nacional,-10.7,32.0,40,43,-48.41,BR,1562611491,1.5
317,alugan,12.22,23.88,99,93,125.48,PH,1562611491,1.37
318,aguilas,37.41,30.0,0,35,-1.58,ES,1562611492,4.6
319,listvyanskiy,54.44,15.38,17,77,83.49,RU,1562611492,2.45
320,myaundzha,63.05,8.18,63,84,147.18,RU,1562611492,1.82
321,gourcy,13.21,35.78,30,28,-2.36,BF,1562611492,4.05
322,henties bay,-22.12,13.33,0,87,14.28,NA,1562611492,5.08
323,clyde river,70.47,11.0,20,71,-68.59,CA,1562611293,4.1
324,abha,18.22,22.0,0,77,42.5,SA,1562611493,3.1
325,yumen,40.29,21.38,32,36,97.04,CN,1562611493,3.93
326,bucerias,20.76,31.67,75,62,-105.33,MX,1562611294,3.6
327,kizema,61.11,14.38,90,86,44.83,RU,1562611494,1.91
328,hamilton,43.26,27.22,75,44,-79.87,CA,1562611315,2.6
329,hofn,64.25,9.0,90,76,-15.21,IS,1562611388,3.1
330,tarko-sale,64.92,11.67,100,94,77.78,RU,1562611354,5.37
331,kalmunai,7.42,26.88,100,75,81.82,LK,1562611494,0.28
332,klaksvik,62.23,12.0,20,76,-6.59,FO,1562611495,1.5
333,kamyshevatskaya,46.41,25.18,0,72,37.96,RU,1562611495,10.04
334,krasnooktyabrskiy,44.93,24.44,0,47,38.37,RU,1562611495,3.0
335,lighthouse point,26.28,28.0,90,88,-80.09,US,1562611495,3.1
336,la ronge,55.1,16.0,75,67,-105.3,CA,1562611496,4.6
337,kavaratti,10.57,28.58,100,80,72.64,IN,1562611275,6.97
338,samana,0.12,22.0,90,94,-76.97,EC,1562611496,1.0
339,adrar,27.87,45.0,0,9,-0.29,DZ,1562611496,3.1
340,viedma,-40.81,12.98,100,54,-62.99,AR,1562611497,3.42
341,ourossogui,15.61,35.48,98,35,-13.32,SN,1562611497,8.31
342,creel,27.75,26.58,47,32,-107.63,MX,1562611337,0.67
343,wanning,48.64,20.0,20,63,13.53,AT,1562611497,4.6
344,alyangula,-13.85,17.0,4,93,136.42,AU,1562611498,2.14
345,bonavista,48.65,15.68,0,56,-53.11,CA,1562611322,6.79
346,serov,59.61,11.48,56,95,60.57,RU,1562611498,2.1
347,santo tomas,7.53,23.33,90,100,125.62,PH,1562611498,1.0
348,inirida,3.87,22.68,74,94,-67.92,CO,1562611315,2.34
349,launceston,-41.43,5.56,40,100,147.14,AU,1562611499,2.6
350,xinpu,27.63,19.98,100,99,119.93,CN,1562611499,0.7
351,neiafu,-18.65,24.0,90,94,-173.98,TO,1562611499,2.1
352,okha,53.59,7.18,29,93,142.95,RU,1562611500,2.86
353,yerbogachen,61.28,18.78,78,58,108.01,RU,1562611500,3.0
354,harindanga,22.04,29.0,40,89,88.32,IN,1562611500,4.1
355,chadiza,-14.06,19.38,0,23,32.43,ZM,1562611500,4.75
356,bonthe,7.53,23.98,100,89,-12.5,SL,1562611369,5.97
357,mizan teferi,6.99,16.68,51,96,35.58,ET,1562611501,1.76
358,balakhninskiy,58.01,12.68,54,87,114.28,RU,1562611501,0.36
359,barbastro,42.04,25.56,64,50,0.13,ES,1562611502,9.8
360,ramhormoz,31.28,35.38,0,8,49.6,IR,1562611502,5.05
361,husavik,50.56,28.33,97,53,-96.99,CA,1562611351,1.34
362,pedernales,0.07,23.88,83,86,-80.05,EC,1562611503,6.57
363,tefe,-3.35,27.0,40,74,-64.71,BR,1562611503,4.6
364,ariquemes,-9.91,32.38,0,33,-63.03,BR,1562611503,1.37
365,klyuchi,52.25,18.58,0,47,79.17,RU,1562611349,2.33
366,marabba,12.35,29.78,100,50,32.18,SD,1562611504,4.21
367,saint-joseph,43.56,30.56,0,78,6.97,FR,1562611279,2.6
368,nizhniy baskunchak,48.22,27.88,42,34,46.83,RU,1562611504,2.73
369,hongjiang,27.21,18.08,100,98,109.83,CN,1562611504,1.76
370,sonoita,31.68,36.11,1,10,-110.66,US,1562611505,7.2
371,fairbanks,64.84,22.78,75,52,-147.72,US,1562611100,3.54
372,vardo,39.62,23.33,90,94,-77.74,US,1562611505,3.6
373,blackwater,51.33,21.11,90,48,-0.78,GB,1562611506,4.6
374,taft,11.9,22.28,94,93,125.42,PH,1562611506,0.15
375,sao gotardo,-19.31,23.33,0,48,-46.05,BR,1562611506,1.79
376,kutum,14.2,24.58,99,59,24.66,SD,1562611506,2.56
377,santa catalina,-33.79,14.44,66,42,-57.49,UY,1562611507,3.62
378,totma,59.98,13.38,87,92,42.76,RU,1562611507,0.42
379,bambous virieux,-20.34,22.22,75,94,57.76,MU,1562610994,2.1
380,manta,45.1,19.28,0,61,24.1,RO,1562611507,4.0
381,rio grande,-32.03,17.0,0,63,-52.1,BR,1562611507,3.1
382,saint-georges,46.12,24.44,0,45,-70.67,CA,1562611508,1.34
383,mecca,21.43,30.18,0,34,39.83,SA,1562611340,3.78
384,nador,35.17,25.0,0,44,-2.93,MA,1562611504,6.2
